id_match,date,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4
2036331,3/28/2023,Qualifiers,0,BLR,-3,70000,ROU,0.3,12509,1,2,27837,44.438192,26.151924,105,68,0
2034483,6/10/2022,Nations,1,BLR,-3,70000,KAZ,-3,70000,1,1,21425,45.2469083,19.8422944,105,68,0
2040620,6/7/2024,Friendlies,1,BLR,-3,70000,RUS,-3,70000,0,4,21425,53.8952694,27.5598972,105,68,0
2036491,11/18/2023,Qualifiers,1,BLR,-3,70000,AND,-3,70000,1,0,21425,47.5748972,19.0846167,105,68,0
2034503,6/13/2022,Nations,0,BLR,-3,70000,AZE,-3,70000,0,2,2330,40.481058,50.145446,105,68,0
2034519,9/22/2022,Nations,0,BLR,-3,70000,KAZ,-3,70000,1,2,29637,51.1083,71.402631,105,68,0
2040821,6/11/2024,Friendlies,1,BLR,-3,70000,ISR,-3,70000,0,4,21425,47.5748972,19.0846167,105,68,0
2036378,6/19/2023,Qualifiers,1,BLR,-3,70000,KOS,-3,70000,2,1,21425,47.5748972,19.0846167,105,68,0
2034548,9/25/2022,Nations,0,BLR,-3,70000,SVK,-1.1,15850,1,1,524,0,0,105,68,0
2034427,6/3/2022,Nations,1,BLR,-3,70000,SVK,-1.1,15850,0,1,21425,45.2469083,19.8422944,105,68,0
2040340,3/21/2024,Friendlies,1,BLR,-3,70000,MNE,-3,70000,0,2,21425,36.907465,30.8938561,105,68,0
2036399,9/9/2023,Qualifiers,0,BLR,-3,70000,AND,-3,70000,0,0,1026,42.504689,1.517462,105,67,0
2036447,10/12/2023,Qualifiers,1,BLR,-3,70000,ROU,0.3,12509,0,0,21425,47.5748972,19.0846167,105,68,0
2039998,3/26/2024,Friendlies,0,BLR,-3,70000,MLT,-3,70000,0,0,21425,35.89485,14.4151056,105,68,0
2034456,6/6/2022,Nations,1,BLR,-3,70000,AZE,-3,70000,0,0,21425,45.2469083,19.8422944,105,68,0
2036307,3/25/2023,Qualifiers,1,BLR,-3,70000,SUI,1.4,4995,0,5,21425,45.2469083,19.8422944,105,68,0
2040532,3/25/2024,Friendlies,1,BOL,-3,70000,AND,-3,70000,1,0,21425,0,0,105,68,0
2039988,3/26/2024,Friendlies,0,BRA,-3,70000,ESP,-0.1,545,3,3,21425,40.4530778,-3.6885194,105,68,0
2039813,3/23/2024,Friendlies,0,BRA,-3,70000,ENG,0.3,451,1,0,21425,51.5558417,-0.2795972,105,68,0
2038997,9/7/2023,Friendlies,1,BUL,-3,70000,IRN,-3,70000,0,1,13253,42.1399056,24.7643833,105,68,0
2036325,3/27/2023,Qualifiers,0,BUL,-3,70000,HUN,-1.5,40918,0,3,53000,47.503111,19.098024,105,68,0
2036372,6/20/2023,Qualifiers,1,BUL,-3,70000,SRB,-0.3,15858,1,1,6700,43.534722,26.527222,105,68,0
2036417,9/10/2023,Qualifiers,0,BUL,-3,70000,MNE,-3,70000,1,2,4232,42.4455611,19.2643444,105,68,0
2036349,6/17/2023,Qualifiers,0,BUL,-3,70000,LTU,-3,70000,1,1,14230,54.8973667,23.9371222,105,68,0
2034419,6/2/2022,Nations,1,BUL,-3,70000,MKD,-3,70000,1,1,8275,43.534722,26.527222,105,68,0
2036486,11/16/2023,Qualifiers,1,BUL,-3,70000,HUN,-1.5,40918,2,2,230,42.6876,23.335369,105,68,0
2034535,9/23/2022,Nations,1,BUL,-3,70000,GIB,-3,70000,5,1,1540,43.534722,26.527222,105,68,0
2034440,6/5/2022,Nations,1,BUL,-3,70000,GEO,-1.7,66820,2,5,3600,43.534722,26.527222,105,68,0
2036302,3/24/2023,Qualifiers,1,BUL,-3,70000,MNE,-3,70000,0,1,9180,43.534722,26.527222,105,68,0
2039989,6/4/2024,Friendlies,0,BUL,-3,70000,ROU,0.3,12509,0,0,21425,44.4128444,26.0404194,105,68,0
2036440,10/14/2023,Qualifiers,1,BUL,-3,70000,LTU,-3,70000,0,2,6916,42.6876,23.335369,105,68,0
2036510,11/19/2023,Qualifiers,0,BUL,-3,70000,SRB,-0.3,15858,2,2,7325,42.991774,21.960613,105,68,0
2034473,6/9/2022,Nations,0,BUL,-3,70000,GIB,-3,70000,1,1,1427,36.149356,-5.350342,105,68,0
2040011,6/8/2024,Friendlies,0,BUL,-3,70000,SVN,-0.6,18358,1,1,21425,46.080641,14.52444,105,68,0
2034563,9/26/2022,Nations,0,BUL,-3,70000,MKD,-3,70000,1,0,20173,42.0057639,21.4255889,105,68,0
2039019,10/17/2023,Friendlies,0,BUL,-3,70000,ALB,-2.2,48468,0,2,17232,41.3184028,19.8239528,105,68,0
2040326,3/22/2024,Friendlies,0,BUL,-3,70000,TAN,-3,70000,1,0,154,40.481058,50.145446,105,68,0
2034496,6/12/2022,Nations,0,BUL,-3,70000,GEO,-1.7,66820,0,0,54200,41.7229472,44.7897806,105,68,0
2040329,3/25/2024,Friendlies,0,BUL,-3,70000,AZE,-3,70000,1,1,3220,40.3973806,49.8523917,105,68,0
2040621,6/9/2024,Friendlies,0,CAN,-3,70000,FRA,1.2,401,0,0,21425,44.89925,-0.56579,105,68,0
2040585,6/6/2024,Friendlies,0,CAN,-3,70000,NED,0.1,1553,0,4,21425,51.8939056,4.5232,105,68,0
2040491,3/26/2024,Friendlies,1,CAY,-3,70000,MDA,-3,70000,0,4,110,36.907465,30.8938561,105,68,0
2040001,3/26/2024,Friendlies,0,CHI,-3,70000,FRA,1.2,401,2,3,21425,43.26983,5.396,105,68,0
2040328,3/22/2024,Friendlies,0,CHI,-3,70000,ALB,-2.2,48468,3,0,21425,44.7949806,10.338325,105,68,0
2039983,3/26/2024,Friendlies,1,COL,-3,70000,ROU,0.3,12509,3,2,21425,40.436147,-3.600571,105,68,0
2037960,6/20/2023,Friendlies,0,COL,-3,70000,GER,2.5,398,2,0,21425,51.5545417,7.0675694,105,68,0
2040007,3/22/2024,Friendlies,0,COL,-3,70000,ESP,-0.1,545,1,0,21425,51.53882,-0.016493,105,68,0
2040006,3/22/2024,Friendlies,0,CRO,1.3,9340,TUN,-3,70000,0,0,21425,0,0,105,68,0
2034504,6/13/2022,Nations,0,CRO,1.3,9340,FRA,1.2,401,1,0,77410,48.9245472,2.3600667,105,68,0
2034480,6/10/2022,Nations,0,CRO,1.3,9340,DEN,0.6,5264,1,0,35862,55.7027611,12.572275,105,68,0
2034552,9/25/2022,Nations,0,CRO,1.3,9340,AUT,-1.2,6048,3,1,45700,48.2071889,16.4205083,105,68,0
2040535,3/26/2024,Friendlies,0,CRO,1.3,9340,EGY,-3,70000,4,2,21425,0,0,105,68,0
2034426,6/3/2022,Nations,1,CRO,1.3,9340,AUT,-1.2,6048,0,3,13994,45.544953,18.695683,105,68,0
2034523,9/22/2022,Nations,1,CRO,1.3,9340,DEN,0.6,5264,2,1,22715,45.8188722,16.0180528,105,68,0
2034449,6/6/2022,Nations,1,CRO,1.3,9340,FRA,1.2,401,1,1,30000,43.5194556,16.4317,105,68,0
2036411,9/11/2023,Qualifiers,0,CRO,1.3,9340,ARM,-3,70000,1,0,14233,40.1719306,44.5256806,105,68,0
2035581,6/14/2023,Nations,0,CRO,1.3,9340,NED,0.1,1553,2,2,39359,51.8939056,4.5232,105,68,0
2040257,6/3/2024,Friendlies,1,CRO,1.3,9340,MKD,-3,70000,3,0,8030,45.346535,14.405458,105,68,0
2035584,6/18/2023,Nations,1,CRO,1.3,9340,ESP,-0.1,545,0,0,41110,51.8939056,4.5232,105,68,0
2040004,6/8/2024,Friendlies,0,CRO,1.3,9340,POR,1.4,601,2,1,21425,38.7088722,-9.2609361,105,68,0
